COUNTRY,POSTAL_CODE,CITY,STATE
Romania,510001,Bărăbanţ,Alba
Romania,510002,Miceşti,Alba
Romania,510002,Alba Iulia,Alba
Romania,510003,Oarda,Alba
Romania,510004,Pâclişa,Alba
Romania,510005,Alba Iulia,Alba
Romania,510006,Alba Iulia,Alba
Romania,510007,Alba Iulia,Alba
Romania,510008,Alba Iulia,Alba
Romania,510009,Alba Iulia,Alba
Romania,510010,Alba Iulia,Alba
Romania,510011,Alba Iulia,Alba
Romania,510012,Alba Iulia,Alba
Romania,510014,Alba Iulia,Alba
Romania,510016,Alba Iulia,Alba
Romania,510017,Alba Iulia,Alba
Romania,510021,Alba Iulia,Alba
Romania,510022,Alba Iulia,Alba
Romania,510026,Alba Iulia,Alba
Romania,510029,Alba Iulia,Alba
Romania,510030,Alba Iulia,Alba
Romania,510031,Alba Iulia,Alba
Romania,510032,Alba Iulia,Alba
Romania,510033,Alba Iulia,Alba
Romania,510034,Alba Iulia,Alba
Romania,510037,Alba Iulia,Alba
Romania,510039,Alba Iulia,Alba
Romania,510040,Alba Iulia,Alba
Romania,510041,Alba Iulia,Alba
Romania,510042,Alba Iulia,Alba
Romania,510045,Alba Iulia,Alba
Romania,510046,Alba Iulia,Alba
Romania,510047,Alba Iulia,Alba
Romania,510048,Alba Iulia,Alba
Romania,510049,Alba Iulia,Alba
Romania,510050,Alba Iulia,Alba
Romania,510053,Alba Iulia,Alba
Romania,510054,Alba Iulia,Alba
Romania,510055,Alba Iulia,Alba
Romania,510056,Alba Iulia,Alba
Romania,510057,Alba Iulia,Alba
Romania,510061,Alba Iulia,Alba
Romania,510062,Alba Iulia,Alba
Romania,510063,Alba Iulia,Alba
Romania,510064,Alba Iulia,Alba
Romania,510065,Alba Iulia,Alba
Romania,510066,Alba Iulia,Alba
Romania,510070,Alba Iulia,Alba
Romania,510072,Alba Iulia,Alba
Romania,510073,Alba Iulia,Alba
Romania,510077,Alba Iulia,Alba
Romania,510078,Alba Iulia,Alba
Romania,510079,Alba Iulia,Alba
Romania,510080,Alba Iulia,Alba
Romania,510081,Alba Iulia,Alba
Romania,510082,Alba Iulia,Alba
Romania,510083,Alba Iulia,Alba
Romania,510084,Alba Iulia,Alba
Romania,510085,Alba Iulia,Alba
Romania,510086,Alba Iulia,Alba
Romania,510087,Alba Iulia,Alba
Romania,510088,Alba Iulia,Alba
Romania,510089,Alba Iulia,Alba
Romania,510090,Alba Iulia,Alba
Romania,510093,Alba Iulia,Alba
Romania,510094,Alba Iulia,Alba
Romania,510095,Alba Iulia,Alba
Romania,510096,Alba Iulia,Alba
Romania,510097,Alba Iulia,Alba
Romania,510101,Alba Iulia,Alba
Romania,510102,Alba Iulia,Alba
Romania,510103,Alba Iulia,Alba
Romania,510104,Alba Iulia,Alba
Romania,510105,Alba Iulia,Alba
Romania,510106,Alba Iulia,Alba
Romania,510109,Alba Iulia,Alba
Romania,510110,Alba Iulia,Alba
Romania,510111,Alba Iulia,Alba
Romania,510112,Alba Iulia,Alba
Romania,510113,Alba Iulia,Alba
Romania,510114,Alba Iulia,Alba
Romania,510115,Alba Iulia,Alba
Romania,510116,Alba Iulia,Alba
Romania,510117,Alba Iulia,Alba
Romania,510118,Alba Iulia,Alba
Romania,510119,Alba Iulia,Alba
Romania,510120,Alba Iulia,Alba
Romania,510121,Alba Iulia,Alba
Romania,510122,Alba Iulia,Alba
Romania,510124,Alba Iulia,Alba
Romania,510125,Alba Iulia,Alba
Romania,510126,Alba Iulia,Alba
Romania,510127,Alba Iulia,Alba
Romania,510128,Alba Iulia,Alba
Romania,510129,Alba Iulia,Alba
Romania,510134,Alba Iulia,Alba
Romania,510135,Alba Iulia,Alba
Romania,510136,Alba Iulia,Alba
Romania,510137,Alba Iulia,Alba
Romania,510138,Alba Iulia,Alba
Romania,510141,Alba Iulia,Alba
Romania,510142,Alba Iulia,Alba
Romania,510143,Alba Iulia,Alba
Romania,510144,Alba Iulia,Alba
Romania,510145,Alba Iulia,Alba
Romania,510146,Alba Iulia,Alba
Romania,510147,Alba Iulia,Alba
Romania,510149,Alba Iulia,Alba
Romania,510150,Alba Iulia,Alba
Romania,510151,Alba Iulia,Alba
Romania,510152,Alba Iulia,Alba
Romania,510153,Alba Iulia,Alba
Romania,510154,Alba Iulia,Alba
Romania,510155,Alba Iulia,Alba
Romania,510156,Alba Iulia,Alba
Romania,510157,Alba Iulia,Alba
Romania,510158,Alba Iulia,Alba
Romania,510159,Alba Iulia,Alba
Romania,510160,Alba Iulia,Alba
Romania,510161,Alba Iulia,Alba
Romania,510162,Alba Iulia,Alba
Romania,510163,Alba Iulia,Alba
Romania,510164,Alba Iulia,Alba
Romania,510165,Alba Iulia,Alba
Romania,510166,Alba Iulia,Alba
Romania,510167,Alba Iulia,Alba
Romania,510168,Alba Iulia,Alba
Romania,510169,Alba Iulia,Alba
Romania,510170,Alba Iulia,Alba
Romania,510171,Alba Iulia,Alba
Romania,510172,Alba Iulia,Alba
Romania,510173,Alba Iulia,Alba
Romania,510174,Alba Iulia,Alba
Romania,510175,Alba Iulia,Alba
Romania,510176,Alba Iulia,Alba
Romania,510177,Alba Iulia,Alba
Romania,510178,Alba Iulia,Alba
Romania,510179,Alba Iulia,Alba
Romania,510181,Alba Iulia,Alba
Romania,510182,Alba Iulia,Alba
Romania,510183,Alba Iulia,Alba
Romania,510184,Alba Iulia,Alba
Romania,510185,Alba Iulia,Alba
Romania,510186,Alba Iulia,Alba
Romania,510187,Alba Iulia,Alba
Romania,510189,Alba Iulia,Alba
Romania,510190,Alba Iulia,Alba
Romania,510191,Alba Iulia,Alba
Romania,510192,Alba Iulia,Alba
Romania,510193,Alba Iulia,Alba
Romania,510194,Alba Iulia,Alba
Romania,510197,Alba Iulia,Alba
Romania,510198,Alba Iulia,Alba
Romania,510199,Alba Iulia,Alba
Romania,510200,Alba Iulia,Alba
Romania,510201,Alba Iulia,Alba
Romania,510202,Alba Iulia,Alba
